Name,Date,Priority,Status
Samantha,15-09-2021,31,Joined
Santos,15-09-2021,32,Left List
Dakota,15-09-2021,33,Left List
Hanyuan,15-09-2021,34,Joined
Yolanda,15-09-2021,35,Joined
Cindy,15-09-2021,36,Left List
Levi,15-09-2021,37,Joined
Zachery,15-09-2021,38,Left List
Victoria,15-09-2021,39,Joined
Shiyan,15-09-2021,40,Joined
Laura,15-09-2021,41,Left List
Nusaiba,15-09-2021,42,Joined
Abyad,15-09-2021,43,Joined
Jose,15-09-2021,44,Joined
Binyu,15-09-2021,45,Joined
Jeffrey,15-09-2021,46,Joined
Kendall,15-09-2021,47,Left List
Jorge,15-09-2021,48,Joined
Brandon,15-09-2021,49,Joined
Devonte,15-09-2021,50,Left List
Emily,16-09-2021,1,Registered
Tasharra,16-09-2021,2,Dropped Class
Brendon,16-09-2021,3,Dropped Class
Sawhitney,16-09-2021,4,Dropped Class
Shavel,16-09-2021,5,Registered
Rene,16-09-2021,6,Registered
Toni,16-09-2021,7,Registered
Haibaa,16-09-2021,8,Registered
Shabaan,16-09-2021,9,Registered
Labeeb,16-09-2021,10,Registered
Kiah,16-09-2021,11,Registered
Nabeela,16-09-2021,12,Registered
Ambre,16-09-2021,13,Registered
Presilla,16-09-2021,14,Left List
Kia,16-09-2021,15,Left List
Ryan,16-09-2021,16,Registered
Jillian,16-09-2021,17,Joined
Haajid,16-09-2021,18,Left List
Lubaaba,16-09-2021,19,Joined
Micah,16-09-2021,20,Joined
Cheyenne,16-09-2021,21,Joined
Lolita,16-09-2021,22,Left List
Saara,16-09-2021,23,Joined
Hannah,16-09-2021,24,Joined
Sara,16-09-2021,25,Joined
Kelsey,16-09-2021,26,Joined
Adrian,16-09-2021,27,Joined
Cody,16-09-2021,28,Joined
Marisela,16-09-2021,29,Joined
Leyvi,16-09-2021,30,Joined
Samantha,16-09-2021,31,Joined
Santos,16-09-2021,32,Left List
Dakota,16-09-2021,33,Left List
Hanyuan,16-09-2021,34,Joined
Yolanda,16-09-2021,35,Joined
Levi,16-09-2021,36,Joined
Zachery,16-09-2021,37,Left List
Victoria,16-09-2021,38,Joined
Shiyan,16-09-2021,39,Joined
Laura,16-09-2021,40,Left List
Nusaiba,16-09-2021,41,Joined
Abyad,16-09-2021,42,Joined
Jose,16-09-2021,43,Joined
Binyu,16-09-2021,44,Joined
Jeffrey,16-09-2021,45,Joined
Kendall,16-09-2021,46,Left List
Jorge,16-09-2021,47,Joined
Brandon,16-09-2021,48,Joined
Devonte,16-09-2021,49,Left List
Emily,17-09-2021,1,Registered
Tasharra,17-09-2021,2,Dropped Class
Brendon,17-09-2021,3,Dropped Class
Sawhitney,17-09-2021,4,Dropped Class
Shavel,17-09-2021,5,Registered
Rene,17-09-2021,6,Registered
Toni,17-09-2021,7,Registered
Haibaa,17-09-2021,8,Registered
Shabaan,17-09-2021,9,Registered
Labeeb,17-09-2021,10,Registered
Kiah,17-09-2021,11,Registered
Nabeela,17-09-2021,12,Registered
Ambre,17-09-2021,13,Registered
Presilla,17-09-2021,14,Left List
Ryan,17-09-2021,15,Registered
Jillian,17-09-2021,16,Joined
Haajid,17-09-2021,17,Left List
Lubaaba,17-09-2021,18,Joined
Micah,17-09-2021,19,Joined
Cheyenne,17-09-2021,20,Joined
Lolita,17-09-2021,21,Left List
Saara,17-09-2021,22,Joined
Hannah,17-09-2021,23,Joined
Sara,17-09-2021,24,Joined
Kelsey,17-09-2021,25,Joined
Adrian,17-09-2021,26,Joined
Cody,17-09-2021,27,Joined
Marisela,17-09-2021,28,Joined
Leyvi,17-09-2021,29,Joined
Samantha,17-09-2021,30,Joined
Santos,17-09-2021,31,Left List
Dakota,17-09-2021,32,Left List
Hanyuan,17-09-2021,33,Joined
Yolanda,17-09-2021,34,Joined
Levi,17-09-2021,35,Joined
Zachery,17-09-2021,36,Left List
Victoria,17-09-2021,37,Joined
Shiyan,17-09-2021,38,Joined
Nusaiba,17-09-2021,39,Joined
Abyad,17-09-2021,40,Joined
Jose,17-09-2021,41,Joined
